index,job_title,salary_estimate,Rating,company_name,Location,Size,founded,industry,sector,revenue,type_of_ownership
98,React Focused Software Engineer,$165K (Employer est.),4.8,Strategic Employment Partners,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
99,Engineer I - Drake Software,-1,-1,Confidential,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
100,Embedded Software Engineer,-1,-1,Facebook App,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
101,Software Engineer 3,$125K (Employer est.),3.4,Homecare Homebase,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
102,Software Engineer,$65K - $109K (Glassdoor est.),3.7,Ecolab,"Saint Paul, MN",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
103,Software Engineer,$109K - $159K (Employer est.),4.3,Indeed,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
104,Software Engineer (2 years exp. req.).),$74K - $124K (Employer est.),-1,Osprey Software Development,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
105,Sr. Software Engineer,$110K - $135K (Employer est.),3.6,Les Schwab,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
106,Software Engineer I,-1,-1,Confidential,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
107,Senior Software Engineer,$109K - $159K (Employer est.),4.3,Indeed,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
108,Senior Software Engineer,$140K (Employer est.),3.4,Homecare Homebase,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
109,Software Engineer,-1,-1,"Aperia Technologies, Inc",Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
110,Software Engineer (Mid-Level),$75K - $95K (Employer est.),4.0,"Powur, PBC",Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
111,Software Engineer,$75K - $126K (Glassdoor est.),4.4,Intuitive,"Raleigh, NC",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
112,Software Engineer,$68K - $114K (Employer est.),4.2,ManTech International Corporation,"Chambersburg, PA",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
113,Full Stack Software Engineer (remote),$132K - $192K (Employer est.),4.3,Indeed,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
114,Software Engineer I - Work from home (Remote/Nationwide),$31K - $75K (Glassdoor est.),3.2,"CONNECT, powered by American Family Insurance","De Pere, WI",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
