index,job_title,salary_estimate,Rating,company_name,Location,Size,founded,industry,sector,revenue,type_of_ownership
125,"AI/ML - Annotation Analyst, Russian Language",-1,4.3,Apple,"Austin, TX",10000+ Employees,1976,Computer Hardware & Software,Computer Hardware & Software,$10+ billion (USD),Company - Public
126,AI/ML Annotation Analyst - Brazilian Portuguese Language,-1,4.3,Apple,"Austin, TX",10000+ Employees,1976,Computer Hardware & Software,Computer Hardware & Software,$10+ billion (USD),Company - Public
127,Data Scientist (Remote - US),-1,3.4,Bon Secours Mercy Health,Ohio,10000+ Employees,2018,Health Care Services & Hospitals,Health Care Services & Hospitals,$5 to $10 billion (USD),Nonprofit Organization
128,"AI/ML - Annotation Analyst, Spanish Language",-1,4.3,Apple,"Austin, TX",10000+ Employees,1976,Computer Hardware & Software,Computer Hardware & Software,$10+ billion (USD),Company - Public
129,"AI/ML - Annotation Analyst, Hebrew Language",-1,4.3,Apple,"San Diego, CA",10000+ Employees,1976,Computer Hardware & Software,Computer Hardware & Software,$10+ billion (USD),Company - Public
130,Customer Transformation Data Scientist,$81K - $146K (Glassdoor est.),3.9,PwC,"New York, NY",10000+ Employees,1998,Consulting,Consulting,$5 to $10 billion (USD),Company - Private
131,"AI/ML - Annotation Analyst, Canadian French Language",-1,4.3,Apple,"Austin, TX",10000+ Employees,1976,Computer Hardware & Software,Computer Hardware & Software,$10+ billion (USD),Company - Public
132,"Analyst I/II, Data Science",$85K - $139K (Employer est.),3.8,Liberty Mutual Insurance,Remote,10000+ Employees,1912,Insurance Carriers,Insurance Carriers,$10+ billion (USD),Company - Private
133,Dir Data Analytics 1,$167K - $250K (Employer est.),4.0,Northrop Grumman,Maryland,10000+ Employees,1939,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),Company - Public
134,Computer Vision Data Scientist,-1,4.3,Apple,"Seattle, WA",10000+ Employees,1976,Computer Hardware & Software,Computer Hardware & Software,$10+ billion (USD),Company - Public
135,Data Scientist,$79K - $149K (Glassdoor est.),3.5,Commonwealth Care Alliance,"Boston, MA",1001 to 5000 Employees,2003,Health Care Services & Hospitals,Health Care Services & Hospitals,$1 to $5 million (USD),Company - Private
136,Machine Learning Scientist / Engineer (NeurIPS 2021),-1,4.3,Apple,"Seattle, WA",10000+ Employees,1976,Computer Hardware & Software,Computer Hardware & Software,$10+ billion (USD),Company - Public
137,Data Analyst,$70K - $95K (Employer est.),-1,Flywheel Software,"New York, NY",-1,-1,-1,-1,-1,-1
138,Data Scientist/Data Analysis,$89K - $145K (Glassdoor est.),2.7,Specific Diagnostics,"Mountain View, CA",1 to 50 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
139,"Data Scientist, Strategic Planning",$67K - $124K (Glassdoor est.),-1,Wonder,"New York, NY",1 to 50 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
